NDB_No,FdGrp_cd,Long_Desc,Shrt_Desc,ComName,ManufacName,Survey,Ref_desc,Refuse,SciName,N_Factor,Pro_Factor,Fat_Factor,CHO_Factor
01058,0100,"Sour dressing, non-butterfat, cultured, filled cream-type","SOUR DRSNG,NON-BUTTERFAT,CULTURED,FILLED CREAM-TYPE",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01059,0100,"Milk, filled, fluid, with blend of hydrogenated vegetable oils","MILK,FILLED,FLUID,W/BLEND OF HYDR VEG OILS",nan,nan,nan,nan,0,nan,6.38,4.27,8.79,3.87
01060,0100,"Milk, filled, fluid, with lauric acid oil","MILK,FILLED,FLUID,W/LAURIC ACID OIL",nan,nan,nan,nan,0,nan,6.38,4.27,8.79,3.87
01061,0100,"Cheese, American, nonfat or fat free","CHEESE,AMERICAN,NONFAT OR FAT FREE",nan,nan,Y,nan,0,nan,6.25,nan,nan,nan
01064,0100,"Yogurt, Greek, 2% fat, apricot, CHOBANI","YOGURT,GREEK,2% FAT,APRICOT,CHOBANI",nan,Chobani,nan,nan,0,nan,3.68,nan,nan,nan
01065,0100,"Yogurt, Greek, 2%fat, coconut blend, CHOBANI","YOGURT,GREEK,2%FAT,COCNT BLEND,CHOBANI",nan,Chobani,nan,nan,0,nan,6.38,nan,nan,nan
01067,0100,"Cream substitute, liquid, with hydrogenated vegetable oil and soy protein","CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT",nan,nan,Y,nan,0,nan,5.71,4.27,8.79,3.87
01068,0100,"Cream substitute, liquid, with lauric acid oil and sodium caseinate","CREAM SUB,LIQ,W/LAURIC ACID OIL&NA CASEINATE",nan,nan,nan,nan,0,nan,6.29,4.27,8.79,3.87
01069,0100,"Cream substitute, powdered","CREAM SUBSTITUTE,POWDERED",nan,nan,Y,nan,0,nan,6.29,4.27,8.79,3.87
01070,0100,"Dessert topping, powdered","DESSERT TOPPING,POWDERED",nan,nan,nan,nan,0,nan,6.29,4.27,8.79,3.87
01071,0100,"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk","DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK",nan,nan,Y,nan,0,nan,6.35,4.27,8.79,3.87
01072,0100,"Dessert topping, pressurized","DESSERT TOPPING,PRESSURIZED",nan,nan,Y,nan,0,nan,6.29,4.27,8.79,3.87
01073,0100,"Dessert topping, semi solid, frozen","DESSERT TOPPING,SEMI SOLID,FRZ",nan,nan,Y,nan,0,nan,6.29,4.27,8.84,3.87
01074,0100,"Sour cream, imitation, cultured","SOUR CRM,IMITN,CULTURED",nan,nan,Y,nan,0,nan,6.29,4.27,8.79,3.87
01076,0100,"Milk substitutes, fluid, with lauric acid oil","MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL",nan,nan,nan,nan,0,nan,6.29,4.27,8.79,3.87
01077,0100,"Milk, whole, 3.25% milkfat, with added vitamin D","MILK,WHL,3.25% MILKFAT,W/ ADDED VITAMIN D",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01078,0100,"Milk, producer, fluid, 3.7% milkfat","MILK,PRODUCER,FLUID,3.7% MILKFAT",nan,nan,nan,nan,0,nan,6.38,4.27,8.79,3.87
01079,0100,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D","MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED VIT A & VITAMIN D",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01080,0100,"Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids and vitamin A and vitamin D","MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED NFMS, VIT A & VIT D",nan,nan,nan,nan,0,nan,6.38,4.27,8.79,3.87
01081,0100,"Milk, reduced fat, fluid, 2% milkfat, protein fortified, with added vitamin A and vitamin D","MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT,W/ ADDED VIT A & D",nan,nan,nan,nan,0,nan,6.38,4.27,8.79,3.87
01082,0100,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D","MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01083,0100,"Milk, lowfat, fluid, 1% milkfat, with added nonfat milk solids, vitamin A and vitamin D","MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADD NONFAT MILK SOL,VIT A/ D",nan,nan,nan,nan,0,nan,6.38,4.27,8.79,3.87
01084,0100,"Milk, lowfat, fluid, 1% milkfat, protein fortified, with added vitamin A and vitamin D","MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ ADDED VIT A & D",nan,nan,nan,nan,0,nan,6.38,4.27,8.79,3.87
01085,0100,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)","MILK,NONFAT,FLUID,W/ ADDED VIT A & VIT D (FAT FREE OR SKIM)",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01086,0100,"Milk, nonfat, fluid, with added nonfat milk solids, vitamin A and vitamin D (fat free or skim)","MILK,NONFAT,FLUID,W/ ADDED NONFAT MILK SOL,VIT A & VIT D",nan,nan,nan,nan,0,nan,6.38,4.27,8.79,3.87
01087,0100,"Milk, nonfat, fluid, protein fortified, with added vitamin A and vitamin D (fat free and skim)","MILK,NONFAT,FLUID,PROT FORT,W/ ADD VIT A & D (FAT FREE/SKIM)",nan,nan,nan,nan,0,nan,6.38,4.27,8.79,3.87
01088,0100,"Milk, buttermilk, fluid, cultured, lowfat","MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01089,0100,"Milk, low sodium, fluid","MILK,LO NA,FLUID",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01090,0100,"Milk, dry, whole, with added vitamin D","MILK,DRY,WHL,W/ ADDED VITAMIN D",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01091,0100,"Milk, dry, nonfat, regular, without added vitamin A and vitamin D","MILK,DRY,NONFAT,REG,WO/ ADDED VIT A & VITAMIN D",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01092,0100,"Milk, dry, nonfat, instant, with added vitamin A and vitamin D","MILK,DRY,NONFAT,INST,W/ ADDED VIT A & VITAMIN D",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01093,0100,"Milk, dry, nonfat, calcium reduced","MILK,DRY,NONFAT,CA RED",nan,nan,nan,nan,0,nan,6.38,4.27,8.79,3.87
01094,0100,"Milk, buttermilk, dried","MILK,BUTTERMILK,DRIED",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01095,0100,"Milk, canned, condensed, sweetened","MILK,CND,COND,SWTND",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01096,0100,"Milk, canned, evaporated, with added vitamin D and without added vitamin A","MILK,CND,EVAP,W/ ADDED VITAMIN D & WO/ ADDED VIT A",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01097,0100,"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D","MILK,CND,EVAP,NONFAT,W/ ADDED VIT A & VITAMIN D",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01102,0100,"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D","MILK,CHOC,FLUID,COMM,WHL,W/ ADDED VIT A & VITAMIN D",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01103,0100,"Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D","MILK,CHOC,FLUID,COMM,RED FAT",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01104,0100,"Milk, chocolate, lowfat, with added vitamin A and vitamin D","MILK,CHOC,LOWFAT,W/ ADDED VIT A & VITAMIN D",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01105,0100,"Milk, chocolate beverage, hot cocoa, homemade","MILK,CHOC BEV,HOT COCOA,HOMEMADE",nan,nan,nan,nan,0,nan,6.38,nan,nan,nan
01106,0100,"Milk, goat, fluid, with added vitamin D","MILK,GOAT,FLUID,W/ ADDED VITAMIN D",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01107,0100,"Milk, human, mature, fluid","MILK,HUMAN,MATURE,FLUID",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01108,0100,"Milk, indian buffalo, fluid","MILK,INDIAN BUFFALO,FLUID",nan,nan,nan,nan,0,nan,6.38,4.27,8.79,3.87
01109,0100,"Milk, sheep, fluid","MILK,SHEEP,FLUID",nan,nan,nan,nan,0,nan,6.38,4.27,8.79,3.87
01110,0100,"Milk shakes, thick chocolate","MILK SHAKES,THICK CHOC",nan,nan,nan,nan,0,nan,6.38,4.27,8.79,3.87
01111,0100,"Milk shakes, thick vanilla","MILK SHAKES,THICK VANILLA",nan,nan,nan,nan,0,nan,6.38,4.27,8.79,3.87
01112,0100,"Whey, acid, fluid","WHEY,ACID,FLUID",nan,nan,nan,nan,0,nan,6.38,4.27,8.79,3.87
01113,0100,"Whey, acid, dried","WHEY,ACID,DRIED",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01114,0100,"Whey, sweet, fluid","WHEY,SWEET,FLUID",nan,nan,nan,nan,0,nan,6.38,4.27,8.79,3.87
01115,0100,"Whey, sweet, dried","WHEY,SWEET,DRIED",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01116,0100,"Yogurt, plain, whole milk","YOGURT,PLN,WHL MILK",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01117,0100,"Yogurt, plain, low fat","YOGURT,PLN,LOFAT",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01118,0100,"Yogurt, plain, skim milk","YOGURT,PLN,SKIM MILK.",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01119,0100,"Yogurt, vanilla, low fat.","YOGURT,VANILLA,LOFAT.",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01120,0100,"Yogurt, fruit, low fat,9 g protein/8 oz","YOGURT,FRUIT,LOFAT,9 G PROTEIN/8 OZ",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01121,0100,"Yogurt, fruit, low fat, 10 grams protein per 8 ounce","YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OUNCE",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01122,0100,"Yogurt, fruit, low fat, 11g protein/8 oz","YOGURT,FRUIT,LOFAT,11G PROTEIN/8 OZ",nan,nan,nan,nan,0,nan,6.38,4.27,8.79,3.87
01123,0100,"Egg, whole, raw, fresh","EGG,WHL,RAW,FRSH",nan,nan,Y,Shell,12,nan,6.25,4.36,9.02,3.68
01124,0100,"Egg, white, raw, fresh","EGG,WHITE,RAW,FRESH",nan,nan,Y,nan,0,nan,6.25,4.36,9.02,3.68
01125,0100,"Egg, yolk, raw, fresh","EGG,YOLK,RAW,FRSH",nan,nan,Y,nan,0,nan,6.25,4.36,9.02,3.68
01126,0100,"Egg, yolk, raw, frozen, pasteurized","EGG,YOLK,RAW,FRZ,PAST",nan,nan,nan,nan,0,nan,6.25,nan,nan,nan
01127,0100,"Egg, yolk, raw, frozen, sugared, pasteurized","EGG,YOLK,RAW,FRZ,SUGARED,PAST",nan,nan,nan,nan,0,nan,6.25,4.36,9.02,3.68
01128,0100,"Egg, whole, cooked, fried","EGG,WHL,CKD,FRIED",nan,nan,Y,nan,0,nan,6.25,4.36,9.02,3.68
01129,0100,"Egg, whole, cooked, hard-boiled","EGG,WHL,CKD,HARD-BOILED",nan,nan,Y,Shell,12,nan,6.25,4.36,9.02,3.68
01130,0100,"Egg, whole, cooked, omelet","EGG,WHOLE,COOKED,OMELET",nan,nan,Y,nan,0,nan,6.25,4.36,9.02,3.68
01131,0100,"Egg, whole, cooked, poached","EGG,WHL,CKD,POACHED",nan,nan,Y,nan,0,nan,6.25,4.36,9.02,3.68
01132,0100,"Egg, whole, cooked, scrambled","EGG,WHL,CKD,SCRMBLD",nan,nan,Y,nan,0,nan,6.25,4.36,9.02,3.68
01133,0100,"Egg, whole, dried","EGG,WHL,DRIED",nan,nan,Y,nan,0,nan,6.25,nan,nan,nan
01134,0100,"Egg, whole, dried, stabilized, glucose reduced","EGG,WHL,DRIED,STABILIZED,GLUCOSE RED",nan,nan,nan,nan,0,nan,6.25,4.36,9.02,3.68
01135,0100,"Egg, white, dried, flakes, stabilized, glucose reduced","EGG,WHITE,DRIED,FLAKES,STABILIZED,GLUCOSE RED",nan,nan,nan,nan,0,nan,6.25,4.36,9.02,3.68
01136,0100,"Egg, white, dried, powder, stabilized, glucose reduced","EGG,WHITE,DRIED,PDR,STABILIZED,GLUCOSE RED",nan,nan,Y,nan,0,nan,6.25,4.36,9.02,3.68
01137,0100,"Egg, yolk, dried","EGG,YOLK,DRIED",nan,nan,Y,nan,0,nan,6.25,nan,nan,nan
01138,0100,"Egg, duck, whole, fresh, raw","EGG,DUCK,WHOLE,FRESH,RAW",nan,nan,Y,Shell,12,nan,6.25,4.36,9.02,3.68
01139,0100,"Egg, goose, whole, fresh, raw","EGG,GOOSE,WHOLE,FRESH,RAW",nan,nan,Y,Shell,13,nan,6.25,4.36,9.02,3.68
01140,0100,"Egg, quail, whole, fresh, raw","EGG,QUAIL,WHOLE,FRESH,RAW",nan,nan,Y,Shell,8,nan,6.25,4.36,9.02,3.68
01141,0100,"Egg, turkey, whole, fresh, raw","EGG,TURKEY,WHL,FRSH,RAW",nan,nan,nan,Shell,12,nan,6.25,4.36,9.02,3.68
01144,0100,"Egg substitute, powder","EGG SUBSTITUTE,POWDER",nan,nan,Y,nan,0,nan,6.25,4.36,9.02,3.87
01145,0100,"Butter, without salt","BUTTER,WITHOUT SALT",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01146,0100,"Cheese, parmesan, shredded","CHEESE,PARMESAN,SHREDDED",nan,nan,nan,nan,0,nan,6.38,4.27,8.79,3.87
01151,0100,"Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)","MILK,NONFAT,FLUID,WO/ ADDED VIT A & VIT D (FAT FREE OR SKIM)",nan,nan,Y,nan,0,nan,6.38,nan,nan,nan
01152,0100,"Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids, without added vitamin A","MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A",nan,nan,nan,nan,0,nan,6.38,4.27,8.79,3.87
01153,0100,"Milk, canned, evaporated, with added vitamin A","MILK,CND,EVAP,W/ VIT A",nan,nan,nan,nan,0,nan,6.38,4.27,8.79,3.87
01154,0100,"Milk, dry, nonfat, regular, with added vitamin A and vitamin D","MILK,DRY,NONFAT,REG,W/ ADDED VIT A & VITAMIN D",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01155,0100,"Milk, dry, nonfat, instant, without added vitamin A and vitamin D","MILK,DRY,NONFAT,INST,WO/ ADDED VIT A & VITAMIN D",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01156,0100,"Cheese, goat, hard type","CHEESE,GOAT,HARD TYPE",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01157,0100,"Cheese, goat, semisoft type","CHEESE,GOAT,SEMISOFT TYPE",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01158,0100,"Yogurt, Greek, 2% fat, key lime blend, CHOBANI","YOGURT,GREEK,2% FAT,KEY LIME BLEND,CHOBANI",nan,Chobani,nan,nan,0,nan,6.38,nan,nan,nan
01159,0100,"Cheese, goat, soft type","CHEESE,GOAT,SOFT TYPE",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01160,0100,"Egg, yolk, raw, frozen, salted, pasteurized","EGG,YOLK,RAW,FRZ,SALTED,PAST",nan,nan,nan,nan,0,nan,6.25,4.36,9.02,3.68
01161,0100,"Cheese substitute, mozzarella","CHEESE SUB,MOZZARELLA",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01162,0100,"Yogurt, Greek, 2% fat, mango, CHOBANI","YOGURT,GREEK,2% FAT,MANGO,CHOBANI",nan,Chobani,nan,nan,0,nan,6.38,nan,nan,nan
01164,0100,"Cheese sauce, prepared from recipe","CHEESE SAU,PREP FROM RECIPE",nan,nan,Y,nan,0,nan,6.38,4.08,8.92,3.95
01165,0100,"Cheese, mexican, queso anejo","CHEESE,MEXICAN,QUESO ANEJO",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01166,0100,"Cheese, mexican, queso asadero","CHEESE,MEXICAN,QUESO ASADERO",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01167,0100,"Cheese, mexican, queso chihuahua","CHEESE,MEXICAN,QUESO CHIHUAHUA",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01168,0100,"Cheese, low fat, cheddar or colby","CHEESE,LOFAT,CHEDDAR OR COLBY",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01169,0100,"Cheese, low-sodium, cheddar or colby","CHEESE,LOW-SODIUM,CHEDDAR OR COLBY",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01171,0100,"Egg, whole, raw, frozen, pasteurized (Includes foods for USDA's Food Distribution Program)","EGG,WHL,RAW,FRZ,PAST",nan,nan,nan,nan,0,nan,6.25,4.36,9.02,3.68
01172,0100,"Egg, white, raw, frozen, pasteurized","EGG,WHITE,RAW,FRZ,PAST",nan,nan,nan,nan,0,nan,6.25,4.36,9.02,3.68
01173,0100,"Egg, white, dried","EGG,WHITE,DRIED",nan,nan,nan,nan,0,nan,6.25,4.36,9.02,3.68
01174,0100,"Milk, reduced fat, fluid, 2% milkfat, without added vitamin A and vitamin D","MILK,RED FAT,FLUID,2% MILKFAT,WO/ ADDED VIT A & VIT D",nan,nan,Y,nan,0,nan,0.00,4.27,8.79,3.87
01175,0100,"Milk, fluid, 1% fat, without added vitamin A and vitamin D","MILK,FLUID,1% FAT,WO/ ADDED VIT A & VIT D",nan,nan,Y,nan,0,nan,0.00,4.27,8.79,3.87
01178,0100,"Sour cream, reduced fat","SOUR CREAM,REDUCED FAT",nan,nan,Y,nan,0,nan,6.38,nan,nan,nan
01179,0100,"Sour cream, light","SOUR CREAM,LIGHT",nan,nan,Y,nan,0,nan,6.38,nan,nan,nan
01180,0100,"Sour cream, fat free","SOUR CREAM,FAT FREE",nan,nan,Y,nan,0,nan,6.38,nan,nan,nan
01184,0100,"Yogurt, vanilla or lemon flavor, nonfat milk, sweetened with low-calorie sweetener","YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR",nan,nan,Y,nan,0,nan,6.38,nan,nan,nan
01185,0100,"Parmesan cheese topping, fat free","PARMESAN CHS TOPPING,FAT FREE",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01186,0100,"Cheese, cream, fat free","CHEESE,CREAM,FAT FREE",nan,nan,Y,nan,0,nan,6.38,4.27,8.79,3.87
01187,0100,"Yogurt, chocolate, nonfat milk","YOGURT,CHOC,NONFAT MILK",nan,nan,Y,nan,0,nan,6.38,nan,nan,nan
01188,0100,KRAFT CHEEZ WHIZ Pasteurized Process Cheese Sauce,KRAFT CHEEZ WHIZ PAST PROCESS CHS SAU,nan,"Kraft Foods, Inc.",nan,nan,0,nan,6.38,nan,nan,nan
